,fitness,weeks,density,RMSE_drive_A,RMSE_drive_B,RMSE_female_A,RMSE_female_B,combined_weight
596,1.05,5.5,6,0.7062855722466,0.704898518727102,197.057540106057,183.561619148972,4.77096721248976
597,1.05,5.5,6.5,0.703598119580357,0.702437083138218,202.98714777664,192.387869771907,4.84193120743465
598,1.05,5.5,7,0.695996771248381,0.694806918026416,209.838995947906,196.50040227707,4.87238250217413
599,1.05,5.5,7.5,0.679872851155007,0.679033922529694,217.278314217511,209.678265558426,4.92451736661447
600,1.05,5.5,8,0.676933737501268,0.676012539844078,226.270413707898,218.911289397433,5.01259263155958
601,1.05,5.5,8.5,0.674666193159692,0.673864182036884,237.470492075037,229.041093698016,5.12042615757098
602,1.05,5.5,9,0.682617728818561,0.681522627789036,234.055118474626,226.622614121145,5.11851512747969
603,1.05,5.5,9.5,0.673386766585566,0.672463265609709,242.322234367366,236.945143789689,5.18520897652915
604,1.05,5.5,10,0.672491216972552,0.6716146418756,253.369337425027,246.529726769254,5.29429728402455
605,1.05,6,6,0.70198832497245,0.700673673122257,196.371929846218,190.116097371083,4.78743667108577
606,1.05,6,6.5,0.694354097633442,0.693355505073331,204.040458515166,190.406634449758,4.80155763432264
607,1.05,6,7,0.686514270342632,0.685562286727086,207.84522199862,200.07605124646,4.84580025922868
608,1.05,6,7.5,0.690896008094765,0.68991086892686,211.50090224666,204.681429693093,4.90764502738972
609,1.05,6,8,0.685989257561823,0.684914356373909,226.088248743804,215.660307664923,5.0278551261037
610,1.05,6,8.5,0.6786861905371,0.678098198118249,231.323501251896,223.787358964069,5.0740800372274
611,1.05,6,9,0.675560141190512,0.67475669772789,237.072299338433,230.476690877859,5.12968310772302
612,1.05,6,9.5,0.67767891010262,0.676675500297723,236.103253745091,230.347657331837,5.13148908218718
613,1.05,6,10,0.669761138804013,0.668939364412577,240.457084811416,236.115010090993,5.15695034036487
614,1.05,6.5,6,0.696486395751002,0.695226604136049,187.331167656974,180.60261616912,4.66524179177462
615,1.05,6.5,6.5,0.680439050495987,0.679517410675043,200.076340673622,193.747277007761,4.74587589205739
616,1.05,6.5,7,0.683216736665775,0.682132265184697,204.849116812846,197.939819712711,4.80503355089369
617,1.05,6.5,7.5,0.675365798467716,0.674574298452949,207.248991204373,202.703548550267,4.81492164202795
618,1.05,6.5,8,0.676370360091016,0.675511508553808,218.821372507956,211.495111332943,4.92945760370743
619,1.05,6.5,8.5,0.669261449615381,0.668548519406696,216.475905731732,211.919399534236,4.89237369058117
620,1.05,6.5,9,0.664105566667473,0.663578925044473,225.266442665326,224.91629812292,4.99232752122051
621,1.05,6.5,9.5,0.656935873619512,0.656229070315413,238.469197716742,231.639454049276,5.07265729508199
622,1.05,6.5,10,0.653324298140034,0.652756653365898,239.305806286905,238.665557998361,5.10264666418671
623,1.05,7,6,0.679366530447206,0.678710774527469,189.155192692267,186.395323348508,4.64294638761582
624,1.05,7,6.5,0.67908458641301,0.678095599349647,197.707138739487,196.485657810892,4.74310030593041
625,1.05,7,7,0.668532659634052,0.667683418375872,206.032002760419,202.633857989465,4.78180111234056
626,1.05,7,7.5,0.676322052312986,0.675530185533277,207.212258136705,203.134493918273,4.82077207044119
627,1.05,7,8,0.662426062417147,0.661790949799689,213.966646594429,215.254423487025,4.87150112988694
628,1.05,7,8.5,0.661532378369977,0.660841255822505,225.286858769979,222.630866735372,4.96959299603739
629,1.05,7,9,0.653986171122804,0.653509539064552,233.390264935946,228.546226302232,5.01743983076761
630,1.05,7,9.5,0.65224429196061,0.651647168483364,236.210804411623,231.464025014586,5.04187333566519
631,1.05,7,10,0.638440379776374,0.63800188383439,250.271952567405,250.302279374553,5.16941986237109
632,1.05,7.5,6,0.69258597116022,0.691429157869226,187.516457410476,181.1487530172,4.65456417052409
633,1.05,7.5,6.5,0.674723963498383,0.673936243433601,192.476215977426,192.510680817688,4.67672387776019
634,1.05,7.5,7,0.669374237209094,0.668593020004391,206.717003816116,205.932412605029,4.80714329358853
635,1.05,7.5,7.5,0.658282932284498,0.657859681708449,204.921275335858,202.022057408891,4.73410842625497
636,1.05,7.5,8,0.648735320410538,0.648439249371294,218.200110192926,215.595843798779,4.84441378739303
637,1.05,7.5,8.5,0.637377600888932,0.636813469626287,228.651222799616,229.599983157734,4.93429635336631
638,1.05,7.5,9,0.651854944374659,0.65144619699264,226.02283244132,222.638774017005,4.93714590418475
639,1.05,7.5,9.5,0.644343747520694,0.644082075105111,231.213493053211,230.411087844052,4.97971675034161
640,1.05,7.5,10,0.634891342557888,0.634642164619641,242.032136834527,242.171605021697,5.06691572675943
641,1.05,8,6,0.667789230492185,0.667131823280475,190.524547749039,185.787964147536,4.60267192861429
642,1.05,8,6.5,0.656775949447681,0.656433889139252,195.353161074976,197.350067306657,4.65130390225758
643,1.05,8,7,0.653084489513759,0.652337263306194,200.090044519675,196.985950609353,4.65977243992733
